match_id,season,competition,round,date,home_team_id,away_team_id,home_goals,away_goals,arena,result
274,2003,Brasileirão Série A,23,2003-08-03,BRA036,BRA021,1,1, Moisés Lucarelli,D
275,2003,Brasileirão Série A,23,2003-08-03,BRA044,BRA003,2,1, São Januário,H
276,2003,Brasileirão Série A,23,2003-08-03,BRA005,BRA045,1,0, Mineirão,H
277,2003,Brasileirão Série A,24,2003-08-06,BRA045,BRA035,1,1, Barradão,D
278,2003,Brasileirão Série A,24,2003-08-06,BRA003,BRA034,1,0, Arena da Baixada,H
279,2003,Brasileirão Série A,24,2003-08-06,BRA017,BRA041,0,1, Heriberto Hulse,A
280,2003,Brasileirão Série A,24,2003-08-06,BRA023,BRA022,3,1, Castelão,H
281,2003,Brasileirão Série A,24,2003-08-06,BRA031,BRA036,0,0, Alfredo Jaconi,D
282,2003,Brasileirão Série A,24,2003-08-06,BRA040,BRA005,3,3, Vila Belmiro,D
283,2003,Brasileirão Série A,24,2003-08-06,BRA024,BRA044,3,1, Serra Dourada,H
284,2003,Brasileirão Série A,24,2003-08-06,BRA018,BRA042,1,1, Mineirão,D
285,2003,Brasileirão Série A,24,2003-08-07,BRA021,BRA007,6,0, Maracanã,H
286,2003,Brasileirão Série A,24,2003-08-07,BRA015,BRA020,0,1, Pacaembu,A
287,2003,Brasileirão Série A,24,2003-08-07,BRA027,BRA025,2,0, Brinco de Ouro,H
288,2003,Brasileirão Série A,24,2003-08-07,BRA028,BRA016,1,0, Beira Rio,H
289,2003,Brasileirão Série A,25,2003-08-09,BRA022,BRA017,1,1, Maracanã,D
