match_id,round,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,team_id
8027,1,15,8,55%,440,83%,9,2,0,3,1,BRA022
8029,1,9,3,43%,343,72%,13,1,0,3,7,BRA007
8029,1,13,7,57%,435,77%,20,3,0,2,4,BRA010
8030,1,16,2,57%,478,83%,18,3,0,1,8,BRA024
8030,1,11,3,43%,368,78%,19,2,0,1,3,BRA003
8031,1,11,6,53%,471,80%,13,1,0,2,1,BRA028
8031,1,24,6,47%,399,79%,18,2,0,0,5,BRA023
8028,1,16,8,69%,647,88%,13,2,0,1,7,BRA042
8028,1,12,3,31%,295,77%,20,3,0,2,3,BRA009
8032,1,7,3,25%,207,65%,10,5,0,2,3,BRA044
8032,1,26,10,75%,601,87%,15,6,0,2,14,BRA005
8034,1,15,7,59%,541,88%,20,3,0,1,6,BRA021
8034,1,10,3,41%,380,85%,17,3,0,2,3,BRA016
8033,1,12,7,41%,405,77%,14,4,0,4,7,BRA015
8033,1,8,2,59%,576,85%,12,2,0,3,4,BRA018
8035,1,16,4,55%,471,81%,16,2,1,1,11,BRA040
8035,1,17,6,45%,402,77%,12,3,0,1,4,BRA025
8036,2,10,1,37%,341,81%,20,3,0,1,6,BRA003
8036,2,14,4,63%,559,87%,13,3,0,3,10,BRA022
8038,2,7,2,67%,508,80%,21,3,0,2,5,BRA010
8038,2,14,3,33%,245,68%,17,3,0,3,4,BRA019
8037,2,22,8,47%,385,81%,12,3,0,3,7,BRA001
8037,2,17,6,53%,435,83%,18,5,0,1,3,BRA042
8039,2,21,6,49%,488,80%,21,4,1,1,11,BRA018
8039,2,11,7,51%,511,79%,8,2,0,3,5,BRA025
8040,2,16,4,35%,310,81%,14,3,0,2,6,BRA028
8040,2,16,4,65%,588,87%,13,1,0,3,2,BRA021
8041,2,12,2,37%,316,77%,11,3,0,0,9,BRA040
8041,2,15,5,63%,551,84%,21,3,0,1,6,BRA005
8042,2,13,7,65%,466,80%,15,3,0,0,5,BRA033
8042,2,11,3,35%,255,69%,19,4,0,0,2,BRA044
8043,2,16,9,41%,343,78%,10,2,0,2,7,BRA023
8043,2,18,7,59%,497,84%,9,1,0,2,3,BRA016
8044,2,10,2,48%,392,80%,23,2,0,1,8,BRA015
8044,2,18,7,52%,392,81%,21,5,0,4,5,BRA024
